MFonMB,Subj,Choice
3.3649,69,1
5.3649,70,0
2.3649,70,1
-1.6351,70,1
-0.63515,70,0
0.36485,70,1
-0.63515,70,1
1.3649,70,0
-2.6351,70,1
3.3649,70,0
4.3649,70,0
1.3649,70,0
2.3649,70,1
0.36485,70,0
-4.6351,72,0
5.3649,72,0
-1.6351,72,0
-0.63515,72,1
-4.6351,72,1
1.3649,72,0
-0.63515,72,0
-0.63515,72,1
0.36485,72,1
-4.6351,72,0
-2.6351,72,1
-0.63515,72,1
5.3649,72,0
1.3649,72,1
1.3649,73,0
-3.6351,73,1
0.36485,73,0
4.3649,73,1
2.3649,73,1
0.36485,73,1
2.3649,73,0
3.3649,73,1
3.3649,73,1
0.36485,73,0
-1.6351,73,0
1.3649,73,0
2.3649,73,1
-2.6351,74,1
-4.6351,74,1
2.3649,74,1
-0.63515,74,0
-4.6351,74,0
-1.6351,74,0
-3.6351,74,1
-3.6351,74,1
-4.6351,74,1
-4.6351,74,1
-1.6351,74,1
-3.6351,74,0
3.3649,74,1
1.3649,75,1
3.3649,75,0
2.3649,75,1
5.3649,75,1
5.3649,75,1
-2.6351,75,0
-3.6351,75,1
3.3649,75,0
5.3649,75,1
-0.63515,75,0
-0.63515,75,0
-1.6351,75,1
-2.6351,75,1
-2.6351,76,0
3.3649,76,1
3.3649,76,1
3.3649,76,0
-0.63515,76,0
3.3649,76,0
3.3649,76,0
-1.6351,76,1
-0.63515,76,1
0.36485,76,1
4.3649,76,1
3.3649,76,0
3.3649,76,1
-2.6351,77,0
5.3649,77,0
2.3649,77,0
2.3649,77,1
1.3649,77,0
-4.6351,77,0
3.3649,77,1
3.3649,77,0
-0.63515,77,0
-2.6351,77,1
-2.6351,77,1
2.3649,77,1
-0.63515,77,1
-3.6351,78,0
0.36485,78,1
2.3649,78,0
2.3649,78,1
2.3649,78,1
5.3649,78,1
0.36485,78,0
2.3649,78,0
1.3649,78,0
3.3649,78,0
3.3649,78,1
2.3649,78,0
-0.63515,78,1
-4.6351,79,0
0.36485,79,0
-0.63515,79,0
1.3649,79,1
5.3649,79,1
5.3649,79,1
5.3649,79,0
0.36485,79,0
-0.63515,79,1
-0.63515,79,1
0.36485,79,0
-3.6351,79,0
4.3649,79,0
1.3649,80,0
5.3649,80,0
1.3649,80,0
0.36485,80,0
4.3649,80,1
-2.6351,80,0
3.3649,80,0
0.36485,80,0
-0.63515,80,0
2.3649,80,1
2.3649,80,1
0.36485,80,0
0.36485,80,1
-4.6351,81,0
-3.6351,81,0
-0.63515,81,0
0.36485,81,1
0.36485,81,1
1.3649,81,1
0.36485,81,0
-2.6351,81,0
5.3649,81,1
-1.6351,81,1
2.3649,81,1
-4.6351,81,1
3.3649,81,0
3.3649,82,0
1.3649,82,1
-2.6351,82,0
-2.6351,82,0
4.3649,82,0
-0.63515,82,0
-3.6351,82,0
-2.6351,82,1
-2.6351,82,0
1.3649,82,1
-2.6351,82,1
-3.6351,82,1
2.3649,82,1
-3.6351,83,1
-3.6351,83,1
-0.63515,83,1
-3.6351,83,1
-3.6351,83,1
-4.6351,83,0
3.3649,83,0
-1.6351,83,0
0.36485,83,0
-1.6351,83,1
-4.6351,83,1
4.3649,83,0
4.3649,83,1
-3.6351,84,0
-3.6351,84,1
3.3649,84,0
-3.6351,84,1
-1.6351,84,1
-0.63515,84,1
1.3649,84,0
0.36485,84,1
