MB,MF,MFonMB,Crits,Choice,Subj
-1.2281,-0.95166,-3.7321,1,1,37
3.7719,0.048341,3.2679,1,1,37
0.77188,-7.9517,2.2679,1,1,37
-1.2281,-2.9517,-2.7321,0,1,37
-0.22812,1.0483,3.2679,1,1,37
-2.2281,-8.9517,4.2679,1,1,37
-0.22812,0.048341,-3.7321,1,1,37
-5.2281,0.048341,-3.7321,0,0,37
-1.2281,5.0483,2.2679,1,1,37
3.7719,-1.9517,2.2679,1,1,37
0.77188,1.0483,4.2679,1,1,37
-9.2281,-6.9517,-1.7321,0,0,37
1.7719,2.0483,-4.7321,1,1,37
-7.2281,-4.9517,2.2679,0,1,42
0.77188,2.0483,-4.7321,0,0,42
-4.2281,-3.9517,3.2679,1,0,42
0.77188,1.0483,-2.7321,0,0,42
-0.22812,-5.9517,-3.7321,0,0,42
4.7719,-1.9517,3.2679,1,0,42
2.7719,3.0483,-4.7321,1,0,42
-3.2281,-2.9517,3.2679,1,0,42
-3.2281,5.0483,-4.7321,0,0,42
2.7719,0.048341,-4.7321,1,1,42
0.77188,2.0483,2.2679,0,0,42
3.7719,5.0483,3.2679,1,1,42
-2.2281,-1.9517,-3.7321,1,0,42
-3.2281,-0.95166,4.2679,0,0,42
4.7719,-7.9517,4.2679,1,0,42
6.7719,1.0483,-2.7321,1,0,42
-0.22812,-2.9517,2.2679,1,0,42
-2.2281,-7.9517,4.2679,1,1,42
5.7719,7.0483,-4.7321,1,0,42
0.77188,0.048341,2.2679,1,1,42
0.77188,7.0483,4.2679,0,0,43
-2.2281,-2.9517,-4.7321,1,1,43
4.7719,2.0483,4.2679,0,1,43
4.7719,6.0483,-4.7321,0,0,43
2.7719,6.0483,-4.7321,1,1,43
1.7719,2.0483,-4.7321,1,1,43
5.7719,-1.9517,-4.7321,1,1,43
2.7719,1.0483,-2.7321,1,1,43
-0.22812,2.0483,4.2679,1,1,43
-0.22812,-2.9517,4.2679,1,1,43
-4.2281,-7.9517,3.2679,0,0,43
0.77188,-3.9517,2.2679,1,1,43
3.7719,-0.95166,2.2679,1,1,43
-0.22812,-0.95166,-2.7321,1,1,43
-5.2281,-2.9517,-3.7321,0,0,43
3.7719,4.0483,-3.7321,1,1,43
3.7719,-0.95166,-4.7321,1,1,43
1.7719,5.0483,-2.7321,1,1,43
-5.2281,-0.95166,3.2679,1,0,44
-4.2281,0.048341,4.2679,0,0,44
3.7719,0.048341,2.2679,1,0,44
4.7719,1.0483,4.2679,1,1,44
3.7719,5.0483,2.2679,1,1,44
-3.2281,-2.9517,3.2679,0,0,44
