subject,datestamp,timestamp,version,Type,Goal,OptNum,Action,S2,Re,rt1,rt2,score,round,Crit,id
AS4WHZ0EVURW_dg_v15,5/11/2015,22:08:37,numberSum_v1,1,1,6,1,1,0,1629,1111,0,4,0,186
AS4WHZ0EVURW_dg_v15,5/11/2015,22:08:44,numberSum_v1,1,1,12,1,1,0,1541,847,0,5,0,187
A1ALBJU1XOKYFH_dg_v15,5/11/2015,22:08:44,numberSum_v1,1,1,12,0,0,0,1708,7716,0,8,0,188
AS4WHZ0EVURW_dg_v15,5/11/2015,22:08:51,numberSum_v1,1,1,4,1,1,0,2244,726,0,6,0,189
A1ALBJU1XOKYFH_dg_v15,5/11/2015,22:08:52,numberSum_v1,1,0,9,0,0,0,3045,1348,0,9,0,190
AS4WHZ0EVURW_dg_v15,5/11/2015,22:08:57,numberSum_v1,1,0,4,0,0,0,2461,911,0,7,0,191
A1ALBJU1XOKYFH_dg_v15,5/11/2015,22:09:01,numberSum_v1,1,0,12,0,0,0,4088,998,0,10,0,192
AS4WHZ0EVURW_dg_v15,5/11/2015,22:09:06,numberSum_v1,1,0,15,0,0,0,1738,1174,0,8,0,193
A1ALBJU1XOKYFH_dg_v15,5/11/2015,22:09:07,numberSum_v1,1,1,15,1,1,0,1772,683,0,11,0,194
AS4WHZ0EVURW_dg_v15,5/11/2015,22:09:14,numberSum_v1,1,0,15,0,0,0,1919,1055,0,9,0,195
A1ALBJU1XOKYFH_dg_v15,5/11/2015,22:09:14,numberSum_v1,1,0,9,0,0,0,2840,921,0,12,0,196
A1ALBJU1XOKYFH_dg_v15,5/11/2015,22:09:21,numberSum_v1,1,0,15,0,0,0,2193,849,0,13,0,197
AS4WHZ0EVURW_dg_v15,5/11/2015,22:09:24,numberSum_v1,1,1,9,1,1,0,2194,1023,0,10,0,198
A1ALBJU1XOKYFH_dg_v15,5/11/2015,22:09:27,numberSum_v1,1,0,7,0,0,0,1812,947,0,14,0,199
A1ALBJU1XOKYFH_dg_v15,5/11/2015,22:09:33,numberSum_v1,1,0,15,0,0,0,1669,825,0,15,0,200
A1ALBJU1XOKYFH_dg_v15,5/11/2015,22:09:40,numberSum_v1,1,1,9,1,1,0,2557,938,0,16,0,201
AS4WHZ0EVURW_dg_v15,5/11/2015,22:09:43,numberSum_v1,1,0,12,0,0,0,1770,1303,0,11,0,202
A1ALBJU1XOKYFH_dg_v15,5/11/2015,22:09:45,numberSum_v1,1,1,1,1,1,0,1260,841,0,17,0,203
AS4WHZ0EVURW_dg_v15,5/11/2015,22:09:50,numberSum_v1,1,1,6,0,0,0,2098,1472,0,12,0,204
A1ALBJU1XOKYFH_dg_v15,5/11/2015,22:09:54,numberSum_v1,1,1,6,0,0,0,3845,829,0,18,0,205
A1ALBJU1XOKYFH_dg_v15,5/11/2015,22:09:59,numberSum_v1,1,1,1,1,1,0,1168,788,0,19,0,206
A1ALBJU1XOKYFH_dg_v15,5/11/2015,22:10:05,numberSum_v1,1,0,1,0,0,0,1824,936,0,20,0,207
A1ALBJU1XOKYFH_dg_v15,5/11/2015,22:10:13,numberSum_v1,1,1,9,0,0,0,3400,769,0,21,0,208
A1ALBJU1XOKYFH_dg_v15,5/11/2015,22:10:18,numberSum_v1,1,0,1,0,0,0,1222,845,0,22,0,209
A1ALBJU1XOKYFH_dg_v15,5/11/2015,22:10:24,numberSum_v1,1,0,6,0,0,0,1844,777,0,23,0,210
A1ALBJU1XOKYFH_dg_v15,5/11/2015,22:10:31,numberSum_v1,1,0,9,0,0,0,2293,763,0,24,0,211
A1ALBJU1XOKYFH_dg_v15,5/11/2015,22:10:36,numberSum_v1,1,0,1,0,0,0,1346,842,0,25,0,212
AS4WHZ0EVURW_dg_v15,5/11/2015,22:10:59,numberSum_v1,1,0,6,0,0,0,1481,1078,0,13,0,213
AS4WHZ0EVURW_dg_v15,5/11/2015,22:11:05,numberSum_v1,1,0,12,0,0,0,1498,823,0,14,0,214
AS4WHZ0EVURW_dg_v15,5/11/2015,22:11:10,numberSum_v1,1,0,6,0,0,0,1224,656,0,15,0,215
AS4WHZ0EVURW_dg_v15,5/11/2015,22:11:16,numberSum_v1,1,0,12,0,0,0,2018,934,0,16,0,216
AS4WHZ0EVURW_dg_v15,5/11/2015,22:11:24,numberSum_v1,1,0,6,0,0,0,1240,1391,0,17,0,217
A1ALBJU1XOKYFH_dg_v15,5/11/2015,22:11:30,numberSum_v1,1,1,10,1,1,0,1308,779,0,26,0,218
AS4WHZ0EVURW_dg_v15,5/11/2015,22:11:30,numberSum_v1,1,0,15,0,0,0,1690,974,0,18,0,219
AS4WHZ0EVURW_dg_v15,5/11/2015,22:11:36,numberSum_v1,1,0,6,0,0,0,1291,840,0,19,0,220
A1ALBJU1XOKYFH_dg_v15,5/11/2015,22:11:40,numberSum_v1,1,1,7,-1,-1,0,3243,3470,0,27,0,221
AS4WHZ0EVURW_dg_v15,5/11/2015,22:11:43,numberSum_v1,1,1,10,1,1,0,2961,742,0,20,0,222
A1ALBJU1XOKYFH_dg_v15,5/11/2015,22:11:46,numberSum_v1,1,1,7,1,1,0,3180,836,0,28,0,223
